id,count_9296,count_9701,count_0206,count_0711
26131,2,,,10
26133,,1,,1
26135,,1,,1
26137,,,1,
26139,,1,12,15
26141,,1,,
26143,1,,,
26145,,,,
26147,1,2,1,2
26149,1,1,1,2
26151,,,,1
26153,,,,
26155,,,,
26157,,,,
26159,,6,1,3
26161,2,3,15,25
26163,16,7,6,11
26165,1,1,1,
27000,8,4,,48
27001,36,50,70,86
27003,58,178,344,466
27005,,1,44,84
27007,2,7,66,154
27009,5,18,17,36
27011,,,,1
27013,12,8,19,15
27015,1,3,7,6
27017,10,12,62,159
27019,7,7,29,46
27021,9,36,152,183
27023,,,,2
27025,44,52,84,111
27027,1,1,6,24
27029,,2,19,21
27031,,2,3,1
27033,1,,1,2
27035,66,180,472,319
27037,59,87,246,295
27039,,3,3,13
27041,3,,7,13
27043,2,2,2,3
27045,,3,21,29
27047,,1,8,8
27049,6,4,33,48
27051,1,,,
27053,162,247,574,778
27055,3,31,111,66
27057,2,1,69,102
27059,14,26,37,79
27061,3,10,85,170
27063,,1,,1
27065,28,44,37,39
27067,1,2,8,20
27069,,1,,3
27071,,2,1,2
27073,,,,1
27075,1,,10,9
27077,,,1,1
27079,1,4,4,11
27081,,,1,
27083,1,2,1,
27085,1,2,10,12
27087,,,6,7
27089,,,1,7
27091,,,1,4
27093,,2,7,7
27095,26,27,53,63
27097,5,26,72,72
27099,1,1,7,12
27101,,,,1
27103,1,3,11,11
27105,1,,,
27107,,,5,6
27109,15,26,43,80
27111,1,4,16,48
27113,,,3,7
27115,71,61,115,162
27117,,,,
27119,,,10,31
27121,,,1,1
27123,151,209,329,432
27125,,,1,1
27127,,,3,1
27129,,2,2,3
27131,2,7,15,29
27133,,,,1
27135,,1,5,1
27137,21,29,82,278
27139,14,19,57,69
27141,10,43,110,180
27143,1,,2,3
27145,12,24,80,122
27147,3,2,11,10
27149,,,1,
27151,,,2,
27153,,2,26,39
27155,,,,
27157,2,6,19,30
27159,,2,9,38
27161,2,3,,8
27163,102,151,284,349
27165,,,2,3
27167,,,,
27169,9,26,86,142
